"ENSG_id","Symbol"
"ENSG00000223382.3","RP1-65J11.1"
"ENSG00000235143.1","RP1-65J11.5"
"ENSG00000229044.1","RP11-266K22.2"
"ENSG00000223907.1","LINC01226"
"ENSG00000260636.1","RP11-439L8.5"
"ENSG00000229167.1","RP11-73M7.1"
"ENSG00000235790.6","RP11-73M7.6"
"ENSG00000264078.1","RP11-73M7.9"
"ENSG00000254545.1","RP11-84A19.3"
"ENSG00000203620.2","RP11-84A19.2"
"ENSG00000269967.1","RP11-84A19.4"
"ENSG00000228634.1","RP4-534N18.2"
"ENSG00000203325.3","RP11-277A4.4"
"ENSG00000250135.1","RP4-622L5.2"
"ENSG00000224066.1","RP4-622L5.7"
"ENSG00000233775.1","RP4-811H24.9"
"ENSG00000224409.1","RP11-114B7.6"
"ENSG00000236065.2","RP1-117O3.2"
"ENSG00000278997.1","RP11-131M11.2"
"ENSG00000279179.1","RP11-131M11.3"
"ENSG00000270115.1","RP11-415J8.7"
"ENSG00000225313.4","RP11-415J8.3"
"ENSG00000233246.1","RP11-415J8.5"
"ENSG00000231163.4","CSMD2-AS1"
"ENSG00000255811.1","RP1-34M23.5"
"ENSG00000230163.1","RP5-997D16.2"
"ENSG00000241014.1","RP11-244H3.1"
"ENSG00000227409.1","ZMYM4-AS1"
"ENSG00000239636.1","RP4-728D4.2"
"ENSG00000232335.1","RP11-435D7.3"
"ENSG00000280133.1","RP4-789D17.3"
"ENSG00000271914.1","RP4-789D17.5"
"ENSG00000271554.1","RP4-665N4.8"
"ENSG00000116883.8","RP11-268J15.5"
"ENSG00000234481.1","RP4-614N24.1"
"ENSG00000223944.1","RP5-1180C18.1"
"ENSG00000233621.1","LINC01137"
"ENSG00000233728.1","RP11-109P14.9"
"ENSG00000230955.1","RP11-109P14.10"
"ENSG00000224592.4","RP5-884C9.2"
"ENSG00000237290.1","LINC01343"
"ENSG00000238063.1","RP11-329N22.1"
"ENSG00000273637.1","RP5-864K19.7"
"ENSG00000228436.2","RP5-864K19.4"
"ENSG00000270040.1","RP11-416A14.1"
"ENSG00000226438.1","RP11-420K8.1"
"ENSG00000182109.6","RP11-69E11.4"
"ENSG00000228060.1","RP11-69E11.8"
"ENSG00000225903.1","RP1-144F13.3"
"ENSG00000261798.1","RP1-118J21.25"
"ENSG00000236546.1","RP1-118J21.5"
"ENSG00000259943.1","RP1-39G22.7"
"ENSG00000260920.2","RP1-228H13.5"
"ENSG00000279667.1","RP11-656D10.7"
"ENSG00000238287.1","RP11-656D10.3"
"ENSG00000227278.1","RP11-656D10.5"
"ENSG00000238186.1","RP11-656D10.6"
"ENSG00000237899.1","RP4-739H11.3"
"ENSG00000272145.1","NFYC-AS1"
"ENSG00000229528.1","RP5-1066H13.4"
"ENSG00000281207.1","SLFNL1-AS1"
"ENSG00000235358.1","RP11-399E6.1"
"ENSG00000229901.1","RP11-399E6.4"
"ENSG00000230881.1","RP11-486B10.3"
"ENSG00000227527.2","RP11-223A3.1"
"ENSG00000234917.2","RP5-994D16.3"
"ENSG00000228452.1","RP5-994D16.9"
"ENSG00000274386.3","RP5-994D16.11"
"ENSG00000228192.6","RP11-342M1.3"
"ENSG00000227533.4","SLC2A1-AS1"
"ENSG00000234694.1","RP1-92O14.3"
"ENSG00000229431.1","RP1-92O14.6"
"ENSG00000229372.1","SZT2-AS1"
"ENSG00000229348.1","HYI-AS1"
"ENSG00000236200.4","KDM4A-AS1"
"ENSG00000229444.1","RP11-184I16.4"
"ENSG00000237950.1","RP11-7O11.3"
"ENSG00000230615.5","RP5-1198O20.4"
"ENSG00000233602.1","ERI3-IT1"
"ENSG00000225721.4","RP11-269F19.2"
"ENSG00000281912.1","LINC01144"
"ENSG00000230896.1","RP11-767N6.7"
"ENSG00000226957.1","RP4-533D7.4"
"ENSG00000227857.2","RP4-533D7.5"
"ENSG00000224863.1","LINC01398"
"ENSG00000225667.1","LINC00505"
"ENSG00000269956.1","MKNK1-AS1"
"ENSG00000228237.4","EFCAB14-AS1"
"ENSG00000225506.2","CYP4A22-AS1"
"ENSG00000224805.2","LINC00853"
"ENSG00000226252.1","RP1-18D14.7"
"ENSG00000225762.1","LINC01389"
"ENSG00000237424.1","FOXD2-AS1"
"ENSG00000227947.1","RP11-543D5.1"
"ENSG00000223814.1","RP11-543D5.2"
"ENSG00000225028.1","RP11-330M19.1"
"ENSG00000226133.4","RP4-683M8.2"
"ENSG00000231413.1","RP11-193P11.3"
"ENSG00000223720.1","RP5-1024N4.2"
"ENSG00000272491.1","RP5-1024N4.4"
"ENSG00000229846.1","RP11-141A19.1"
"ENSG00000230114.1","RP11-141A19.2"
"ENSG00000225623.1","AGBL4-IT1"
"ENSG00000279324.1","RP11-93G23.2"
"ENSG00000237337.1","RP11-567C20.2"
"ENSG00000233407.1","RP11-567C20.3"
"ENSG00000225767.1","RP5-850O15.3"
"ENSG00000203356.2","LINC01562"
"ENSG00000236434.2","RP11-296A18.6"
"ENSG00000261664.4","TTC39A-AS1"
"ENSG00000238140.1","RP11-253A20.1"
"ENSG00000227070.1","RP11-191G24.1"
"ENSG00000266993.3","RP4-657D16.3"
"ENSG00000272175.1","RP4-657D16.6"
"ENSG00000223390.1","RP11-91A18.4"
"ENSG00000228369.2","TXNDC12-AS1"
"ENSG00000272100.1","RP11-155O18.6"
"ENSG00000272371.1","RP11-25O10.2"
"ENSG00000242391.2","RP4-631H13.2"
"ENSG00000232993.1","RP11-334A14.5"
"ENSG00000235563.1","RP11-334A14.8"
"ENSG00000236723.2","RP5-1024G6.2"
"ENSG00000259818.1","RP5-1024G6.7"
"ENSG00000226754.1","RP5-1024G6.5"
"ENSG00000234578.1","RP4-784A16.1"
"ENSG00000228838.1","RP4-784A16.2"
"ENSG00000225030.1","RP4-784A16.3"
"ENSG00000232762.1","RP4-784A16.4"
"ENSG00000225675.2","RP4-784A16.5"
"ENSG00000226938.1","RP11-117D22.1"
"ENSG00000230138.1","RP11-117D22.2"
"ENSG00000280378.1","RP4-758J24.6"
"ENSG00000280425.1","RP11-446E24.3"
"ENSG00000198711.5","SSBP3-AS1"
"ENSG00000225632.1","RP5-997D24.3"
"ENSG00000232245.1","RP4-705F19.1"
"ENSG00000235741.1","RP5-866L20.1"
"ENSG00000230728.1","RP11-240D10.4"
"ENSG00000237453.1","RP11-67L3.2"
"ENSG00000242396.1","RP11-67L3.5"
"ENSG00000233203.5","RP11-67L3.4"
"ENSG00000233271.1","RP11-12C17.2"
"ENSG00000231090.1","RP11-101C11.1"
"ENSG00000234810.1","RP11-466L17.1"
"ENSG00000233147.1","RP11-90C4.1"
"ENSG00000230250.1","RP11-90C4.2"
"ENSG00000233079.1","RP11-90C4.3"
"ENSG00000235612.1","RP1-158P9.1"
"ENSG00000260971.3","RP11-504A18.1"
"ENSG00000223956.1","RP4-710M16.2"
"ENSG00000229913.1","RP11-378I13.1"
"ENSG00000236341.1","RP5-1103B4.3"
"ENSG00000227935.1","RP6-102O10.1"
"ENSG00000226759.6","DAB1-AS1"
"ENSG00000235038.1","RP11-393I23.4"
"ENSG00000234807.5","LINC01135"
"ENSG00000272226.1","RP11-63G10.3"
"ENSG00000231740.1","RP11-63G10.2"
"ENSG00000232453.4","RP4-794H19.1"
"ENSG00000230812.4","LINC01358"
"ENSG00000241042.1","RP11-145M4.1"
"ENSG00000235215.2","RP11-145M4.2"
"ENSG00000237352.2","RP11-145M4.3"
"ENSG00000224609.5","HSD52"
"ENSG00000281041.1","RP11-470E16.2"
"ENSG00000270457.1","RP11-467C18.1"
"ENSG00000226883.1","RP4-782L23.2"
"ENSG00000231816.1","RP4-782L23.1"
"ENSG00000238242.1","RP11-575B7.3"
"ENSG00000226476.2","RP11-776H12.1"
"ENSG00000231252.1","RP11-436K8.1"
"ENSG00000237928.4","NFIA-AS2"
"ENSG00000270742.1","RP4-802A10.1"
"ENSG00000237853.5","NFIA-AS1"
"ENSG00000271200.1","RP11-430G17.3"
"ENSG00000278967.1","RP5-849H19.3"
