logFC AveExpr t P.Value adj.P.Val B Symbol ENSG_id
ENSG00000246582.2 2.86264628481792 0.5384507862232 19.8792902304415 4.61107792980672e-69 5.97638010358551e-68 146.34266244471 RP11-1149O23.3 ENSG00000246582.2
ENSG00000255248.6 -3.33528597811753 1.92291337985447 -19.8607183074934 9.24482535427709e-69 1.18612120083681e-67 145.653195207126 RP11-166D19.1 ENSG00000255248.6
ENSG00000261572.1 2.20370101598127 -0.511188163240986 19.7954537315427 1.30268724590608e-68 1.66019164045925e-67 145.306702535343 RP11-384L8.1 ENSG00000261572.1
ENSG00000263345.1 -3.28115589698162 -0.160974983895457 -19.7457755431182 2.4092902114992e-68 3.0551722507415e-67 144.693342730169 RP1-59D14.5 ENSG00000263345.1
ENSG00000234678.1 2.77298780160126 1.35873176793998 19.7121610068657 4.16863367437989e-68 5.24690649361925e-67 144.147734853065 RP11-465N4.4 ENSG00000234678.1
ENSG00000261064.1 -4.0590046867374 -1.41604718128116 -19.6230733257236 1.09843661990563e-67 1.35901465017521e-66 143.180035262249 RP11-1000B6.3 ENSG00000261064.1
ENSG00000229953.1 4.88016600365385 -0.191361454682473 19.597399152599 2.51186877782252e-67 3.05814510819494e-66 142.359937104018 RP11-284F21.7 ENSG00000229953.1
ENSG00000225032.5 -2.44219862592607 0.00550855056487012 -19.5029285999806 4.8409116500072e-67 5.85167252146274e-66 141.700604290125 RP11-228B15.4 ENSG00000225032.5
ENSG00000282221.1 5.71858640210625 -1.77873733063762 19.4886717873827 6.31444177104142e-67 7.60274737310473e-66 141.436427366825 RP11-27G14.4 ENSG00000282221.1
ENSG00000227953.6 -2.66809658403287 -0.471587867279939 -19.4570782203456 8.52090709248569e-67 1.02190595672853e-65 141.136636837909 LINC01341 ENSG00000227953.6
ENSG00000272870.1 -2.42369054833335 1.50767978083225 -19.4269545940838 1.23519669634251e-66 1.47671830742202e-65 140.766300950288 RP11-798M19.6 ENSG00000272870.1
ENSG00000267280.5 -2.87096203782744 -0.600450833136103 -19.329416730254 4.10585065546286e-66 4.82548164476779e-65 139.568229338815 TBX2-AS1 ENSG00000267280.5
ENSG00000233834.6 5.2623280316733 -1.15876684161025 19.3033224537663 7.54777232032033e-66 8.79612427398675e-65 138.96383371221 AC005083.1 ENSG00000233834.6
ENSG00000261067.6 -2.14802829777411 -0.650056832702055 -19.261024463411 9.52302002304051e-66 1.10726882966069e-64 138.729124278095 RP11-264B17.3 ENSG00000261067.6
ENSG00000261804.1 5.57045227761277 -2.51357224030568 19.2375993758063 1.27010242357764e-65 1.47229578052256e-64 138.441907548291 RP11-44F14.2 ENSG00000261804.1
ENSG00000153363.12 1.82585881969963 1.09470579093318 19.1585016171712 3.35605662314995e-65 3.85226815546671e-64 137.472793165068 LINC00467 ENSG00000153363.12
ENSG00000228315.11 -2.21036656966584 2.56925737691917 -19.1546858933677 3.51701652997238e-65 4.03096071861222e-64 137.426070373488 GUSBP11 ENSG00000228315.11
ENSG00000182310.12 -2.68161512091574 1.79453483914299 -19.1633631282819 3.75913618225045e-65 4.2923370104963e-64 137.361410326431 SPACA6P ENSG00000182310.12
ENSG00000262877.4 -3.08945467183572 0.515179440312393 -19.0992321002585 8.18831977553459e-65 9.25966035402374e-64 136.584875414313 RP11-1055B8.4 ENSG00000262877.4
ENSG00000247809.7 -2.91479587291024 -0.548028936676872 -19.0849973972491 8.27089009537742e-65 9.34610580777649e-64 136.57320455696 NR2F2-AS1 ENSG00000247809.7
ENSG00000261123.1 1.89073130494334 2.5546694874841 19.0261762813544 1.70108218370271e-64 1.91371745666555e-63 135.854016022485 RP11-304L19.3 ENSG00000261123.1
ENSG00000271895.2 -2.22749231863945 2.62747624525472 -19.0054025157977 2.19413711562224e-64 2.45572719727199e-63 135.600171468707 RP4-635E18.8 ENSG00000271895.2
ENSG00000258461.5 -2.22775203746308 0.750131728427575 -18.9578763095354 3.92668502754297e-64 4.3628244788906e-63 135.019723525641 RP11-164J13.1 ENSG00000258461.5
