logFC AveExpr t P.Value adj.P.Val B Symbol
ENSG00000122778.9 2.60263017382814 0.121434283479945 33.4325497254705 2.39178161223884e-143 4.61856056894981e-141 317.055660620982 KIAA1549
ENSG00000174403.15 -7.40790114252599 -0.789714425454601 -33.435083015683 4.16525442788622e-143 7.94261953717554e-141 316.503947724933 C20orf166-AS1
ENSG00000101003.9 4.02175928103597 0.864063716290454 33.3320117911821 8.24492448480459e-143 1.55279411130487e-140 315.820478684826 GINS1
ENSG00000122367.19 -5.6559678008415 0.351474985883347 -33.2776158967104 3.67123167857206e-142 6.82983405568498e-140 314.332616998352 LDB3
ENSG00000244538.1 9.04972942448251 -3.20604295953171 33.1690398638938 6.14220182517185e-142 1.12890709449393e-139 313.816154378422 RP11-10G12.1
ENSG00000166292.11 -4.92168140457665 0.690245564312064 -33.1937783966979 6.30072666663585e-142 1.14425696785155e-139 313.791847644376 TMEM100
ENSG00000133800.8 -4.91303776724921 2.05350473150072 -33.252272815961 7.02306466874166e-142 1.26043354731358e-139 313.686336365924 LYVE1
ENSG00000259479.6 4.08411265185783 1.74407842211609 33.1428530627327 8.48331394210917e-142 1.50480179287064e-139 313.493853688033 SORD2P
ENSG00000120729.9 -7.35832424732485 -1.02927032644913 -33.0583504155535 2.78996396726942e-141 4.89205750812586e-139 312.306123231816 MYOT
ENSG00000094804.9 4.53763138674241 1.13291101135011 32.9906808862578 7.04787820649441e-141 1.22176570500082e-138 311.38151020681 CDC6
ENSG00000111404.6 -7.39103143127248 -1.21146381909003 -32.915775627422 1.39912401322879e-140 2.39816144065227e-138 310.696280950845 RERGL
ENSG00000171617.13 3.38576038305345 3.10001740931541 32.8763457013633 2.27742635061235e-140 3.86023766428794e-138 310.210007298048 ENC1
ENSG00000130653.15 -2.94587444557849 1.67954792213389 -32.8196107295209 4.59204463201743e-140 7.68513978727269e-138 309.510059522083 PNPLA7
ENSG00000173894.10 3.15601861614255 -0.0102231735663803 32.8188617920391 4.63476145807334e-140 7.68513978727269e-138 309.500817739447 CBX2
ENSG00000102384.13 2.82575430677475 0.177847776067872 32.7181641773395 1.610322686548e-139 2.64144866486986e-137 308.257743762253 CENPI
ENSG00000164171.10 3.20527568229183 1.7493946872789 32.6372941255592 4.38120963675052e-139 7.11014393708821e-137 307.258747383917 ITGA2
ENSG00000178773.14 3.93215059686217 0.978221739772567 32.5341416587778 1.57190231250685e-138 2.52414418708337e-136 305.983613562213 CPNE7
ENSG00000166405.14 -6.39302381897698 -0.434504117369371 -32.5215103836437 2.90542418860139e-138 4.61690062469939e-136 305.372124830395 RIC3
ENSG00000162063.12 3.04811385880744 1.13299908950635 32.3873085952112 9.70363912866725e-138 1.52607231863731e-135 304.166828691625 CCNF
