"ENSG_id","logFC","adj.P.Val","logrank.pvalue","beta","HR","CI","wald.test.test","HR.pvalue.pvalue","wald.test","HR.pvalue","Symbol"
"ENSG00000275764.1",-0.807581031018852,1.51521401337885e-17,0.658641955009772,0.019,1,"(0.818-1.27)","0.03","0.869",0.03,0.869,"RP11-582E3.6"
"ENSG00000275888.1",-2.20764642065357,2.75745215578739e-52,0.00153129236523078,0.22,1.3,"(1.04-1.5)","5.63","0.0176",5.63,0.0176,"RP13-516M14.10"
"ENSG00000275964.1",0.395116508465759,9.56038139155846e-05,0.953426429542784,0.13,1.1,"(0.923-1.4)","1.47","0.225",1.47,0.225,"RP11-61K9.3"
"ENSG00000276529.1",0.137554037572255,0.207881465492602,0.128301560308221,0.27,1.3,"(1.04-1.65)","5.17","0.023",5.17,0.023,"AP001505.10"
"ENSG00000276718.1",-1.11186411013338,1.44352119294316e-25,0.125814141498988,0.091,1.1,"(0.902-1.33)","0.85","0.357",0.85,0.357,"RP1-102E24.10"
"ENSG00000276855.1",-2.10329557365935,6.31978921624054e-53,0.268844831559401,-0.036,0.96,"(0.87-1.07)","0.48","0.488",0.48,0.488,"CTD-3157E16.2"
"ENSG00000276952.1",-1.18333170751428,3.47968549882331e-17,0.148411518641321,-0.013,0.99,"(0.896-1.09)","0.07","0.792",0.07,0.792,"RP5-965G21.6"
"ENSG00000277283.1",-0.14409545143814,0.0911603310396917,0.295159686461064,-0.011,0.99,"(0.738-1.33)","0.01","0.942",0.01,0.942,"RP1-267D11.6"
"ENSG00000277496.1",1.02070728691203,4.28563067978757e-19,0.42266682551501,-0.0022,1,"(0.826-1.21)","0","0.982",0,0.982,"RP11-93B14.9"
"ENSG00000277639.1",2.6997271983335,2.08810605268868e-34,0.170993169883893,0.015,1,"(0.916-1.13)","0.09","0.769",0.09,0.769,"RP11-295M3.4"
"ENSG00000277782.1",-0.0487032901405179,0.676674830412693,0.110816802781734,0.13,1.1,"(0.949-1.36)","1.92","0.166",1.92,0.166,"RP11-775C24.5"
"ENSG00000277879.1",-0.193161460647286,0.0758046003751746,0.0380758450556288,-0.15,0.86,"(0.719-1.03)","2.57","0.109",2.57,0.109,"RP11-129M16.4"
"ENSG00000277969.1",-0.00351908865098854,0.967466975264344,0.544714977481552,0.058,1.1,"(0.787-1.43)","0.15","0.701",0.15,0.701,"CTB-58E17.1"
"ENSG00000277978.1",0.329631698547096,0.00401660044413688,0.729879717102448,0.11,1.1,"(0.913-1.37)","1.16","0.281",1.16,0.281,"RP11-403P17.6"
"ENSG00000278133.1",-0.372400523417084,0.000197627997629594,0.299714171192008,0.14,1.2,"(0.797-1.66)","0.56","0.455",0.56,0.455,"RP11-196G11.5"
"ENSG00000278192.1",3.57850064386826,2.62498935618808e-50,0.150067412608407,0.18,1.2,"(0.997-1.43)","3.71","0.0541",3.71,0.0541,"RP5-1056H1.2"
"ENSG00000278600.1",-1.26539884079011,1.91819470288974e-35,0.200608491366427,0.25,1.3,"(1.01-1.62)","4.33","0.0374",4.33,0.0374,"RP11-81A1.6"
"ENSG00000278730.1",-0.300882911993696,0.00142940640674207,0.245830938656874,-0.16,0.85,"(0.635-1.14)","1.17","0.28",1.17,0.28,"RP11-147L13.11"
"ENSG00000278768.1",-0.905504868998631,1.01465399097187e-18,0.0986053779447333,0.17,1.2,"(0.877-1.59)","1.2","0.273",1.2,0.273,"BACE1-AS"
"ENSG00000278784.1",-1.53460608497092,2.77064964523398e-50,0.138851724086396,0.19,1.2,"(0.891-1.65)","1.49","0.222",1.49,0.222,"RP11-468E2.11"
"ENSG00000278834.1",0.225332826831551,0.00871857314197452,0.700972999533245,0.029,1,"(0.791-1.34)","0.05","0.828",0.05,0.828,"RP11-458J1.1"
