"","group","RP5.1021I20.1","RP11.440D17.3","MIR210HG","LINC00261","AC113189.5","CTB.25B13.12","AC114730.3"
"TCGA.CM.4743.01","Tumor",-1.5951,-2.3884,4.5796,2.2175,4.8768,2.9984,-0.4325
"TCGA.AA.3662.01","Tumor",0.6517,2.7379,1.6695,0.5271,1.7995,1.7185,2.4701
"TCGA.A6.3809.01","Tumor",-3.92142870792,-9.9658,0.647061962531,1.30801419055,0.183935134075,-0.873008859291,-0.982820086718
"GTEX.11EQ9.1426.SM.5987G","NonTumor",2.409,-1.1488,2.004,-9.9658,3.1195,2.4332,-4.035
"GTEX.ZVT4.2626.SM.5N9GJ","NonTumor",1.0433,-0.1828,1.7053,-1.0862,3.6961,2.6114,-1.2142
"TCGA.CM.4747.01","Tumor",-0.3022,-2.3147,3.2707,2.2299,1.8036,2.3871,1.334
"TCGA.A6.5666.01","Tumor",1.8484,-1.1172,2.5061,-1.9942,1.7185,1.6374,2.7007
"GTEX.XBEW.1926.SM.4SOJO","NonTumor",-1.4699,1.2992,3.3979,1.4911,3.3192,2.6693,2.4035
"GTEX.YF7O.1626.SM.5IFII","NonTumor",2.4063,0.3685,-0.8084,-2.1779,3.6532,1.5316,-2.114
"TCGA.DM.A285.01","Tumor",0.5271,2.7292,2.59,0.4125,3.6497,3.2796,2.5852
"GTEX.13CF3.1326.SM.5LZXZ","NonTumor",1.0007,-0.5543,1.595,-9.9658,3.867,2.236,-3.816
"GTEX.131XG.1526.SM.5GCNQ","NonTumor",-0.6643,0.3573,0.9343,-2.9324,4.6136,2.299,-2.8262
"TCGA.CM.6171.01","Tumor",-1.7809,1.7744,1.2455,7.9886,3.8105,0.7146,-1.2828
"TCGA.D5.6538.01","Tumor",2.0946,-3.1714,2.7029,3.5971,1.2636,2.4727,1.2271
"GTEX.ZGAY.2126.SM.4YCFB","NonTumor",1.5366,0.4967,2.9562,0.7493,3.4237,2.3649,1.4704
"TCGA.AA.3511.11","NonTumor",2.0147,2.1766,2.5948,3.5706,2.6208,2.4831,3.5086
"TCGA.A6.2675.01","Tumor",0.7832,2.1345,1.8957,3.0978,2.5972,2.9013,2.2543
"TCGA.G4.6298.01","Tumor",1.1512,2.0707,3.0619,3.1588,1.7702,3.5362,-0.1828
"GTEX.11ZVC.2126.SM.5EGJ1","NonTumor",2.5313,0.9862,0.8568,-1.2142,3.5718,1.816,-1.6394
"GTEX.12WSL.1826.SM.5LZW9","NonTumor",1.4652,-0.3383,2.3394,-2.0529,4.026,2.3451,-5.0116
"GTEX.11DXY.2026.SM.5N9CZ","NonTumor",1.6187,0.2642,3.1162,-5.0116,4.3597,3.38,-2.6349
"GTEX.ZAB4.2426.SM.5HL8A","NonTumor",3.7248,0.7579,4.7253,-9.9658,3.8621,2.4465,-1.7809
"GTEX.ZPIC.2626.SM.57WE2","NonTumor",1.3623,0.346,1.5758,-5.0116,3.6382,2.3048,-1.5522
"TCGA.A6.6650.01","Tumor",-2.31476410407,-0.718692671658,2.26632349414,1.86565089225,1.24346520155,2.89354789281,2.84749967908
"TCGA.AM.5820.01","Tumor",1.0293,2.5487,-0.1993,-2.4659,2.4883,1.2576,-3.6259
"TCGA.AA.3663.01","Tumor",1.7912,-2.1779,3.5287,4.8304,4.4615,1.949,-0.7108
"GTEX.Y114.1526.SM.4TT79","NonTumor",0.688,-0.2328,1.5902,-3.3076,4.2227,2.8482,-1.8314
"GTEX.13OVG.1426.SM.5K7VP","NonTumor",0.9493,0.2881,1.1833,-0.7346,3.4034,1.6649,-0.8599
"GTEX.Y3IK.1826.SM.4WWDS","NonTumor",0.537,0.9115,3.1604,2.5188,2.8582,2.7615,3.1062
"GTEX.11P81.1126.SM.5GU5G","NonTumor",2.6278,1.4441,1.6187,-6.5064,4.1828,2.3843,-4.035
"GTEX.11TUW.2026.SM.5EQL8","NonTumor",1.105,-0.8084,3.6242,-6.5064,3.2796,2.4359,-9.9658
