"","ENSG_id","logFC","adj.P.Val","logrank.pvalue","beta","HR","CI","wald.test","HR.pvalue","Symbol"
"66","ENSG00000230163.1",-0.674967013004384,1.38500124091705e-14,0.381317726912419,0.32,1.4," (0.979-1.92)",3.36,0.0666,"RP5-997D16.2"
"67","ENSG00000230177.1",-0.190585964538367,0.0930953894343186,0.374681953841858,0.11,1.1," (0.912-1.38)",1.17,0.279,"RP5-1112D6.4"
"68","ENSG00000230551.4",-1.13382677313342,3.2872025872756e-24,0.746855605639407,0.063,1.1," (0.845-1.34)",0.28,0.594,"CTB-89H12.4"
"69","ENSG00000230733.2",0.607198240849248,1.40222029829168e-12,0.736877520877378,0.23,1.3," (0.955-1.65)",2.65,0.104,"AC092171.4"
"70","ENSG00000230844.2",-0.341181646978331,0.000138997213879933,0.17111468738585,0.23,1.3," (0.961-1.65)",2.81,0.0939,"ZNF674-AS1"
"71","ENSG00000230896.1",0.139136319323648,0.0988185369114918,0.562736920459702,-0.069,0.93," (0.678-1.28)",0.18,0.671,"RP11-767N6.7"
"72","ENSG00000231025.1",0.411507632594766,2.07520163008303e-06,0.575021017247842,0.19,1.2," (0.861-1.7)",1.2,0.274,"RP11-175O19.4"
"73","ENSG00000231663.1",-0.719251098962012,3.79574353533485e-12,0.800188005631549,0.065,1.1," (0.87-1.31)",0.39,0.53,"RP5-827C21.4"
"74","ENSG00000232093.1",1.23429852312674,1.65530752162476e-16,0.50673219224011,0.11,1.1," (0.9-1.39)",1.02,0.312,"RP11-307C12.11"
"75","ENSG00000232098.3",-0.0820095707284989,0.394279964980024,0.77576005140549,0.08,1.1," (0.799-1.47)",0.26,0.608,"CTD-2619J13.14"
"76","ENSG00000232442.1",-0.156520032758693,0.173401196220144,0.029076713467141,0.18,1.2," (0.978-1.48)",3.05,0.0806,"CTD-3184A7.4"
"77","ENSG00000232445.1",4.88205874000737,3.40477920984817e-81,0.534779523187211,-0.047,0.95," (0.856-1.06)",0.73,0.394,"RP11-132A1.4"
"78","ENSG00000232533.1",0.262047122495327,0.0238588303272407,0.0961090827031287,0.23,1.3," (0.961-1.65)",2.78,0.0953,"AC093673.5"
"79","ENSG00000232803.1",3.33003107641782,3.05280031865352e-81,0.26060760795989,0.074,1.1," (0.971-1.2)",1.96,0.162,"SLCO4A1-AS1"
"80","ENSG00000233223.2",-0.734337324998846,7.94232115896868e-12,0.213437134784824,0.42,1.5," (1.2-1.91)",12.2,0.00048,"AC113189.5"
"81","ENSG00000233483.2",2.35366018366681,2.54565985459367e-24,0.658656528452664,-0.017,0.98," (0.833-1.16)",0.04,0.843,"CTD-2020K17.4"
"82","ENSG00000233621.1",0.778609160824167,1.3205578640156e-16,0.430800380488671,-0.07,0.93," (0.699-1.24)",0.23,0.633,"LINC01137"
"83","ENSG00000234072.1",0.0561152639606077,0.574206198931385,0.0975299033224662,0.23,1.3," (0.954-1.66)",2.65,0.104,"AC074117.10"
"84","ENSG00000234155.1",3.89200975563056,1.95711583473336e-42,0.27976120511457,-0.086,0.92," (0.794-1.06)",1.34,0.246,"RP11-30P6.6"
"85","ENSG00000234160.1",0.54020816486113,0.000287780121418579,0.552843770489645,0.11,1.1," (0.863-1.44)",0.7,0.404,"RP11-613M10.6"
"86","ENSG00000234171.2",0.743211581659024,8.60313321695906e-16,0.558445949856005,0.078,1.1," (0.798-1.46)",0.25,0.616,"RNASEH1-AS1"
"87","ENSG00000234678.1",2.77298780160126,5.2469064936194e-67,0.172201494160439,0.17,1.2," (0.897-1.58)",1.46,0.227,"RP11-465N4.4"
"88","ENSG00000234771.3",-0.123612025318034,0.315859432679176,0.01027297141836,0.22,1.2," (0.978-1.58)",3.16,0.0755,"SLC25A25-AS1"
"89","ENSG00000235245.1",-1.7180245991693,1.19737011657532e-42,0.227887356316722,0.24,1.3," (1.05-1.55)",5.99,0.0144,"RP11-122K13.12"
"90","ENSG00000235280.2",3.42444641430983,5.18820075210548e-47,0.143660468316528,0.16,1.2," (0.969-1.41)",2.67,0.102,"MCF2L-AS1"
"91","ENSG00000235499.1",2.75083919186602,6.13367395192573e-27,0.367481995016538,0.026,1," (0.929-1.13)",0.26,0.61,"AC073046.25"
"92","ENSG00000235576.1",1.2234503735491,0.000199779046807665,0.193164531760535,-0.055,0.95," (0.87-1.03)",1.59,0.208,"AC092580.4"
"93","ENSG00000235823.1",0.0781559612847522,0.463574885576462,0.217672515630079,0.23,1.3," (0.952-1.66)",2.6,0.107,"OLMALINC"
"94","ENSG00000235919.4",0.0661371349783558,0.463589835257445,0.280284417503277,0.26,1.3," (0.965-1.73)",2.97,0.0849,"ASH1L-AS1"
"95","ENSG00000236081.1",8.44563465160793,2.09741215563742e-143,0.0121673019647464,0.16,1.2," (1.01-1.35)",4.65,0.0311,"ELFN1-AS1"
"96","ENSG00000236618.2",0.494685370781817,4.57573452120986e-07,0.194931387326252,0.18,1.2," (0.942-1.52)",2.17,0.141,"PITPNA-AS1"
"97","ENSG00000236850.4",-0.375276904701486,1.20108488360975e-05,0.573057954131596,0.13,1.1," (0.858-1.52)",0.82,0.365,"BMS1P20"
