term beta HR CI wald.test HR.pvalue
1 stageii 1.01587244451488 2.76177183930008 0.635410098470738-12.0038754667388 1.3550643287139 0.175397062485938
2 stageiii 1.66435154582237 5.28224684391402 1.23629113231786-22.5692241824361 2.24623947305361 0.0246886731388811
3 stageiv 2.79134667145708 16.3029597560871 3.85338754211852-68.9747641272723 3.79295728808667 0.000148863769451705
195 RBM26.AS1 -0.15 0.86  (0.366-2.03) 0.12 0.731
196 RP11.112J3.16 0.069 1.1  (0.765-1.5) 0.16 0.688
197 KIF9.AS1 -0.33 0.72  (0.0612-8.41) 0.07 0.791
198 LINC01268 0.18 1.2  (0.818-1.73) 0.84 0.361
199 SLC2A1.AS1 -0.14 0.87  (0.436-1.75) 0.15 0.701
200 SPAG5.AS1 -0.22 0.8  (0.353-1.82) 0.28 0.596
201 LINC01341 1.4 4.1  (1.15-14.7) 4.76 0.0291
202 MFI2.AS1 0.078 1.1  (0.932-1.25) 1.06 0.304
203 RNF144A.AS1 -0.2 0.82  (0.156-4.32) 0.05 0.816
204 HCG11 0.019 1  (0.904-1.15) 0.1 0.755
205 RALY.AS1 0.14 1.2  (0.896-1.48) 1.22 0.268
206 PCAT6 0.18 1.2  (1.07-1.35) 9.76 0.00178
207 GUSBP11 2.5 13  (0.965-168) 3.74 0.0533
208 LINC01004 0.051 1.1  (0.944-1.17) 0.85 0.358
209 AP006222.2 2 7  (0.0874-568) 0.76 0.383
210 LINC01125 0.45 1.6  (0.498-4.9) 0.58 0.445
211 LINC01013 1.1 3  (0.172-53.3) 0.57 0.448
212 ZNF883 0.39 1.5  (1.06-2.06) 5.37 0.0205
213 HOTAIR 0.18 1.2  (1.05-1.36) 7 0.00817
214 LINC00659 -0.035 0.97  (0.89-1.05) 0.71 0.398
215 RP13.39P12.3 -0.3 0.74  (0.215-2.53) 0.23 0.629
216 WEE2.AS1 -0.44 0.64  (0.132-3.16) 0.29 0.588
217 LINC00954 -0.0067 0.99  (0.587-1.68) 0 0.98
218 LINC01128 0.39 1.5  (0.622-3.51) 0.78 0.377
220 UBAC2.AS1 0.017 1  (0.683-1.51) 0.01 0.934
221 ANKRD10.IT1 -0.00065 1  (0.988-1.01) 0.01 0.911
222 EPHA1.AS1 -1.2 0.29  (0.0395-2.16) 1.45 0.228
223 GS1.124K5.11 0.28 1.3  (1.02-1.71) 4.36 0.0367
224 LINC00242 0.44 1.6  (0.585-4.13) 0.78 0.376
225 LINC00858 0.42 1.5  (1.14-2.04) 8.23 0.00411
226 CTD.2554C21.3 0.73 2.1  (0.37-11.5) 0.68 0.408
227 ACVR2B.AS1 -0.12 0.89  (0.397-1.98) 0.09 0.771
228 MBNL1.AS1 -0.13 0.88  (0.606-1.28) 0.45 0.505
229 XIST -0.015 0.99  (0.947-1.03) 0.51 0.475
