"ENSG_id","beta","HR","CI","wald.test","HR.pvalue","Symbol"
"ENSG00000237857.2",0.17,1.2," (0.92-1.52)",1.7,0.192,"RP11-435O5.2"
"ENSG00000280202.1",-0.023,0.98," (0.845-1.13)",0.1,0.752,"RP5-1180D12.1"
"ENSG00000276952.1",-0.0077,0.99," (0.898-1.1)",0.02,0.879,"RP5-965G21.6"
"ENSG00000270157.1",0.049,1," (0.885-1.25)",0.31,0.577,"RP5-894A10.6"
"ENSG00000229953.1",0.0092,1," (0.829-1.23)",0.01,0.927,"RP11-284F21.7"
"ENSG00000268756.1",0.13,1.1," (1.02-1.26)",5.79,0.0161,"AC104534.2"
"ENSG00000234705.1",0.056,1.1," (0.945-1.18)",0.95,0.329,"HMGA1P4"
"ENSG00000278974.1",0.0072,1," (0.91-1.11)",0.02,0.889,"RP11-756P10.6"
"ENSG00000232874.1",0.018,1," (0.923-1.12)",0.13,0.72,"RP11-135A1.2"
"ENSG00000205559.3",0.091,1.1," (0.914-1.31)",0.97,0.324,"CHKB-AS1"
"ENSG00000258914.1",0.015,1," (0.943-1.09)",0.16,0.693,"CTD-2134A5.3"
"ENSG00000256751.4",-0.011,0.99," (0.838-1.17)",0.02,0.894,"PLBD1-AS1"
"ENSG00000236144.5",0.14,1.1," (0.904-1.46)",1.28,0.258,"TMEM147-AS1"
"ENSG00000214546.3",0.022,1," (0.876-1.19)",0.08,0.782,"AC087491.2"
"ENSG00000272821.1",0.22,1.2," (0.96-1.62)",2.74,0.0978,"CTA-384D8.36"
"ENSG00000232803.1",0.074,1.1," (0.971-1.2)",1.96,0.162,"SLCO4A1-AS1"
"ENSG00000265458.1",-0.094,0.91," (0.763-1.09)",1.08,0.3,"RP13-20L14.6"
"ENSG00000204792.2",0.042,1," (0.988-1.1)",2.27,0.132,"LINC01291"
"ENSG00000261116.1",0.075,1.1," (0.847-1.37)",0.37,0.544,"RP3-523K23.2"
"ENSG00000258498.5",-0.0034,1," (0.904-1.1)",0,0.945,"DIO3OS"
"ENSG00000214293.7",0.33,1.4," (0.97-1.99)",3.21,0.0731,"APTR"
"ENSG00000254854.1",0.011,1," (0.907-1.13)",0.04,0.845,"CTD-2523D13.2"
"ENSG00000245571.5",-0.14,0.87," (0.574-1.3)",0.48,0.489,"AP001258.4"
"ENSG00000261716.1",0.32,1.4," (1.08-1.74)",6.71,0.00956,"RP11-196G18.22"
"ENSG00000243479.3",0.15,1.2," (0.928-1.45)",1.7,0.192,"MNX1-AS1"
"ENSG00000230551.4",0.063,1.1," (0.845-1.34)",0.28,0.594,"CTB-89H12.4"
"ENSG00000247516.4",-0.079,0.92," (0.824-1.04)",1.84,0.175,"MIR4458HG"
"ENSG00000226051.5",-0.019,0.98," (0.882-1.09)",0.12,0.726,"ZNF503-AS1"
"ENSG00000233184.5",-0.22,0.8," (0.649-0.987)",4.34,0.0373,"RP11-421L21.3"
"ENSG00000271971.1",0.026,1," (0.857-1.23)",0.08,0.778,"CTD-2006H14.2"
"ENSG00000254837.2",-0.17,0.84," (0.648-1.1)",1.59,0.208,"AP001372.2"
"ENSG00000263470.1",0.053,1.1," (0.841-1.32)",0.21,0.648,"RP11-160O5.1"
"ENSG00000268471.4",0.082,1.1," (0.827-1.42)",0.35,0.553,"DKFZP434I0714"
"ENSG00000260853.1",0.11,1.1," (0.927-1.33)",1.31,0.252,"RP11-264B17.2"
"ENSG00000267249.1",-0.06,0.94," (0.8-1.11)",0.51,0.476,"RP11-973H7.3"
